image_index,label,subject,split
4076,0,Abdullah Gul,train
227,0,Abdullah Gul,train
1237,0,Abdullah Gul,train
1,0,Abdullah Gul,train
2225,0,Abdullah Gul,train
1343,0,Abdullah Gul,gallery
2400,0,Abdullah Gul,probe
803,0,Abdullah Gul,probe
2761,0,Abdullah Gul,probe
3112,0,Abdullah Gul,probe
2865,1,Adrien Brody,train
2558,1,Adrien Brody,train
3042,1,Adrien Brody,train
677,1,Adrien Brody,train
4003,1,Adrien Brody,train
1140,1,Adrien Brody,gallery
710,1,Adrien Brody,probe
1645,1,Adrien Brody,probe
280,1,Adrien Brody,probe
2524,1,Adrien Brody,probe
3546,2,Alejandro Toledo,train
1359,2,Alejandro Toledo,train
866,2,Alejandro Toledo,train
455,2,Alejandro Toledo,train
3444,2,Alejandro Toledo,train
3672,2,Alejandro Toledo,gallery
4250,2,Alejandro Toledo,probe
1170,2,Alejandro Toledo,probe
2027,2,Alejandro Toledo,probe
700,2,Alejandro Toledo,probe
2253,3,Alvaro Uribe,train
1075,3,Alvaro Uribe,train
3282,3,Alvaro Uribe,train
3420,3,Alvaro Uribe,train
3820,3,Alvaro Uribe,train
2474,3,Alvaro Uribe,gallery
881,3,Alvaro Uribe,probe
2943,3,Alvaro Uribe,probe
389,3,Alvaro Uribe,probe
660,3,Alvaro Uribe,probe
3388,4,Amelie Mauresmo,train
2433,4,Amelie Mauresmo,train
1903,4,Amelie Mauresmo,train
153,4,Amelie Mauresmo,train
3931,4,Amelie Mauresmo,train
1695,4,Amelie Mauresmo,gallery
952,4,Amelie Mauresmo,probe
2082,4,Amelie Mauresmo,probe
3940,4,Amelie Mauresmo,probe
2823,4,Amelie Mauresmo,probe
116,5,Andre Agassi,train
300,5,Andre Agassi,train
4154,5,Andre Agassi,train
3244,5,Andre Agassi,train
3121,5,Andre Agassi,train
2674,5,Andre Agassi,gallery
2434,5,Andre Agassi,probe
2787,5,Andre Agassi,probe
1636,5,Andre Agassi,probe
2259,5,Andre Agassi,probe
200,6,Andy Roddick,train
564,6,Andy Roddick,train
2960,6,Andy Roddick,train
2822,6,Andy Roddick,train
3669,6,Andy Roddick,train
1144,6,Andy Roddick,gallery
633,6,Andy Roddick,probe
2883,6,Andy Roddick,probe
1992,6,Andy Roddick,probe
2659,6,Andy Roddick,probe
1577,7,Angelina Jolie,train
249,7,Angelina Jolie,train
3270,7,Angelina Jolie,train
851,7,Angelina Jolie,train
282,7,Angelina Jolie,train
682,7,Angelina Jolie,gallery
1028,7,Angelina Jolie,probe
4054,7,Angelina Jolie,probe
1133,7,Angelina Jolie,probe
1449,7,Angelina Jolie,probe
337,8,Ann Veneman,train
3440,8,Ann Veneman,train
2408,8,Ann Veneman,train
1440,8,Ann Veneman,train
4172,8,Ann Veneman,train
4167,8,Ann Veneman,gallery
3063,8,Ann Veneman,probe
979,8,Ann Veneman,probe
1806,8,Ann Veneman,probe
4241,8,Ann Veneman,probe
3688,9,Anna Kournikova,train
2458,9,Anna Kournikova,train
635,9,Anna Kournikova,train
1866,9,Anna Kournikova,train
713,9,Anna Kournikova,train
1221,9,Anna Kournikova,gallery
1316,9,Anna Kournikova,probe
263,9,Anna Kournikova,probe
1218,9,Anna Kournikova,probe
1552,9,Anna Kournikova,probe
1035,10,Ari Fleischer,train
3256,10,Ari Fleischer,train
315,10,Ari Fleischer,train
1619,10,Ari Fleischer,train
3289,10,Ari Fleischer,train
1172,10,Ari Fleischer,gallery
4094,10,Ari Fleischer,probe
836,10,Ari Fleischer,probe
3329,10,Ari Fleischer,probe
3552,10,Ari Fleischer,probe
436,11,Ariel Sharon,train
863,11,Ariel Sharon,train
586,11,Ariel Sharon,train
2197,11,Ariel Sharon,train
4021,11,Ariel Sharon,train
2211,11,Ariel Sharon,gallery
775,11,Ariel Sharon,probe
3758,11,Ariel Sharon,probe
3491,11,Ariel Sharon,probe
1944,11,Ariel Sharon,probe
1146,12,Arnold Schwarzenegger,train
2951,12,Arnold Schwarzenegger,train
3017,12,Arnold Schwarzenegger,train
2810,12,Arnold Schwarzenegger,train
1388,12,Arnold Schwarzenegger,train
2732,12,Arnold Schwarzenegger,gallery
1607,12,Arnold Schwarzenegger,probe
1721,12,Arnold Schwarzenegger,probe
2427,12,Arnold Schwarzenegger,probe
390,12,Arnold Schwarzenegger,probe
3874,13,Atal Bihari Vajpayee,train
1754,13,Atal Bihari Vajpayee,train
1776,13,Atal Bihari Vajpayee,train
898,13,Atal Bihari Vajpayee,train
2766,13,Atal Bihari Vajpayee,train
909,13,Atal Bihari Vajpayee,gallery
3605,13,Atal Bihari Vajpayee,probe
3103,13,Atal Bihari Vajpayee,probe
742,13,Atal Bihari Vajpayee,probe
3428,13,Atal Bihari Vajpayee,probe
2490,14,Bill Clinton,train
1937,14,Bill Clinton,train
2717,14,Bill Clinton,train
506,14,Bill Clinton,train
701,14,Bill Clinton,train
3767,14,Bill Clinton,gallery
2335,14,Bill Clinton,probe
3762,14,Bill Clinton,probe
975,14,Bill Clinton,probe
2793,14,Bill Clinton,probe
335,15,Bill Gates,train
1651,15,Bill Gates,train
2405,15,Bill Gates,train
466,15,Bill Gates,train
563,15,Bill Gates,train
1040,15,Bill Gates,gallery
3805,15,Bill Gates,probe
1702,15,Bill Gates,probe
908,15,Bill Gates,probe
3814,15,Bill Gates,probe
1407,16,Bill McBride,train
3006,16,Bill McBride,train
1069,16,Bill McBride,train
2721,16,Bill McBride,train
960,16,Bill McBride,train
1823,16,Bill McBride,gallery
2431,16,Bill McBride,probe
994,16,Bill McBride,probe
2604,16,Bill McBride,probe
1206,16,Bill McBride,probe
692,17,Bill Simon,train
1012,17,Bill Simon,train
2902,17,Bill Simon,train
73,17,Bill Simon,train
703,17,Bill Simon,train
3476,17,Bill Simon,gallery
1773,17,Bill Simon,probe
3498,17,Bill Simon,probe
2378,17,Bill Simon,probe
3465,17,Bill Simon,probe
2644,18,Britney Spears,train
1053,18,Britney Spears,train
2586,18,Britney Spears,train
408,18,Britney Spears,train
2410,18,Britney Spears,train
2319,18,Britney Spears,gallery
3510,18,Britney Spears,probe
3662,18,Britney Spears,probe
1931,18,Britney Spears,probe
4086,18,Britney Spears,probe
4320,19,Carlos Menem,train
2743,19,Carlos Menem,train
354,19,Carlos Menem,train
2178,19,Carlos Menem,train
3152,19,Carlos Menem,train
1857,19,Carlos Menem,gallery
993,19,Carlos Menem,probe
2054,19,Carlos Menem,probe
2841,19,Carlos Menem,probe
3612,19,Carlos Menem,probe
1439,20,Carlos Moya,train
493,20,Carlos Moya,train
614,20,Carlos Moya,train
3692,20,Carlos Moya,train
4253,20,Carlos Moya,train
3852,20,Carlos Moya,gallery
1769,20,Carlos Moya,probe
1211,20,Carlos Moya,probe
1318,20,Carlos Moya,probe
854,20,Carlos Moya,probe
1883,21,Catherine Zeta-Jones,train
2332,21,Catherine Zeta-Jones,train
304,21,Catherine Zeta-Jones,train
16,21,Catherine Zeta-Jones,train
620,21,Catherine Zeta-Jones,train
3690,21,Catherine Zeta-Jones,gallery
4230,21,Catherine Zeta-Jones,probe
3652,21,Catherine Zeta-Jones,probe
1342,21,Catherine Zeta-Jones,probe
886,21,Catherine Zeta-Jones,probe
1716,22,Charles Moose,train
1715,22,Charles Moose,train
4010,22,Charles Moose,train
2942,22,Charles Moose,train
3533,22,Charles Moose,train
3921,22,Charles Moose,gallery
3858,22,Charles Moose,probe
2502,22,Charles Moose,probe
2403,22,Charles Moose,probe
2911,22,Charles Moose,probe
624,23,Colin Powell,train
2104,23,Colin Powell,train
3915,23,Colin Powell,train
2553,23,Colin Powell,train
3412,23,Colin Powell,train
1058,23,Colin Powell,gallery
2200,23,Colin Powell,probe
